"","Dip","Gain","MatrixGo1","MatrixGo2","MatrixGo3","MatrixGo4","MatrixGo5","MatrixGo6","MatrixNoGo1","MatrixNoGo2","MatrixNoGo3","MatrixNoGo4","MatrixNoGo5","MatrixNoGo6"
"218","1.1","1.8",0.156279,0.147113,0.124912,0.0740725,0.00302361,9.99323e-05,0.0001186,0.0168679,0.0625996,0.115411,0.150478,0.159651
"219","1.1","1.9",0.156275,0.147656,0.127323,0.0788859,0.00485442,9.99323e-05,0.000117712,0.0149814,0.0591041,0.111825,0.149613,0.15965
"220","1.1","2.0",0.156273,0.148128,0.12945,0.0833615,0.00716163,9.99311e-05,0.000116873,0.0132829,0.0558997,0.10824,0.148693,0.15965
"221","1.2","0.1",0.15515,0.00498078,0.000120742,0.000107099,9.69513e-05,9.90106e-05,0.0192029,0.153793,0.155889,0.159005,0.159301,0.159654
"222","1.2","0.2",0.156154,0.0338003,0.000353058,0.000109479,9.73748e-05,9.90106e-05,0.00655837,0.143898,0.153632,0.158149,0.159019,0.159654
"223","1.2","0.3",0.156244,0.0625409,0.00325616,0.000112656,9.78536e-05,9.90098e-05,0.00193475,0.128363,0.150743,0.157187,0.158723,0.159654
"224","1.2","0.4",0.156255,0.0840764,0.0144483,0.000117316,9.8373e-05,9.90085e-05,0.000369988,0.111462,0.147049,0.156101,0.158411,0.159652
"225","1.2","0.5",0.156266,0.0991831,0.0290611,0.000135306,9.895e-05,9.90085e-05,0.000189128,0.0960148,0.142421,0.154875,0.158083,0.159652
"226","1.2","0.6",0.156272,0.110372,0.0423039,0.000463207,9.96246e-05,9.90085e-05,0.000166144,0.0829742,0.136789,0.153489,0.157738,0.159652
"227","1.2","0.7",0.156276,0.118763,0.0539443,0.00249061,0.000100391,9.90085e-05,0.000153825,0.0718235,0.130146,0.151922,0.157374,0.159652
"228","1.2","0.8",0.156279,0.125118,0.0642621,0.00721261,0.000101259,9.90085e-05,0.000145252,0.0626646,0.123145,0.15015,0.156991,0.159652
"229","1.2","0.9",0.156281,0.129979,0.0734664,0.0138325,0.000102246,9.90085e-05,0.000139239,0.0550844,0.116184,0.148156,0.156585,0.159652
"230","1.2","1.0",0.156276,0.133717,0.0820737,0.0208515,0.000103427,9.90085e-05,0.000134691,0.0486707,0.109533,0.14592,0.156155,0.159652
